x, y
5.338468892837897, 1.7242221126401223e-11
6.2437476366913405, 1.361269134350722e-11
7.301870705555447, 1.137803785326202e-11
8.537853906530405, 1.057678380306814e-11
9.98218212338489, 1.0379060514940628e-11
11.670046739735188, 1.062706565354885e-11
13.642512571348998, 1.1283128622832142e-11
15.946821807370995, 1.2722209805129294e-11
18.641063638741734, 1.400442390384156e-11
21.790152778680643, 1.5570337824768853e-11
25.47134411976097, 1.726178443482446e-11
29.774246334338216, 1.9210409303208496e-11
34.80408805253458, 2.136163301810911e-11
40.68356978257581, 2.3777145508457726e-11
47.556503511521825, 2.638748704492118e-11
55.590334347670435, 2.9347124541201794e-11
64.98119251901593, 3.268448949109104e-11
75.95902554021495, 3.622888957844894e-11
88.79019926576669, 4.050779347138579e-11
103.78825268887236, 4.545297430800588e-11
121.31950033918386, 5.1057216485709e-11
141.80869053890984, 5.819465472558568e-11
165.75535322912944, 6.704784349112996e-11
193.73982057248924, 7.874318514878575e-11
226.435244989847, 9.60142106811945e-11
264.64163479896547, 1.1893046774693532e-10
309.2710827588459, 1.5444607066886045e-10
361.424165793758, 2.0150951518894787e-10
422.35516081869343, 2.694924258515515e-10
493.5566796491109, 3.611284712873751e-10
576.7653685915972, 4.819088994572402e-10
673.9821275767985, 6.551112748406073e-10
787.6227855000936, 8.645657822762031e-10
922.9178618345163, 1.0423023879261977e-9
1076.0147722957245, 1.1971053163955657e-9
1257.983834075669, 1.2087643852939128e-9
1416.5552532792572, 1.1117368958774133e-9
